rating,description,brand,discount_price,shipping_description,review
4.6 out of 5 stars,Winn Dri-Tac Standard Grip Kit (13-Piece),Winn,$68.42 - $107.00,FREE Shipping,92
4.5 out of 5 stars,[DRSKIN] Compression Tight Pants Base Layer Running Leggings Men Women,DRSKIN,$9.89 - $15.99,,10
4.3 out of 5 stars,[DRSKIN]Calf Compression Sleeve Calf Guard Shin Splints Sleeves-1Pair(2Pcs),DRSKIN,$4.99,,3
,Haggar Men's C18 Slim Fit Flat Front Sport Pant,Haggar,$50.49,FREE Shipping,10
4.4 out of 5 stars,Bushnell NEO XS Golf GPS Rangefinder Watch,Bushnell,$114.99 - $446.75,FREE Shipping on orders over $35,599
4.6 out of 5 stars,Nike Tech Swoosh Cap,Nike,$17.95 - $58.00,,299
4.4 out of 5 stars,Pride Golf Prolength Tee System 75 Count,Pride Professional Tee System,$3.45 - $20.21,FREE Shipping on orders over $35,152
4.6 out of 5 stars,Nike Men's Tour Legacy Mesh Hat,Nike Golf,$18.50 - $57.12,FREE Shipping on orders over $35,100
,Bridgestone 2015 E6 White Golf Balls 12-Ball Pack,Bridgestone,$20.00 - $123.89, ,59
4.6 out of 5 stars,Nike True Tour FlatBill Cap,Nike,$22.99 - $92.30,FREE Shipping on orders over $35,37
4.7 out of 5 stars,Bridgestone 2014 Tour B330-Rx White Golf Balls 12-Ball Pack,Bridgestone,$26.20 - $174.97,FREE Shipping on orders over $35,83
,PrideSports Golf Ball Pick-Up,PrideSports,$5.51,FREE Shipping on orders over $35,219
,Zero Friction Compression Fit Performance Golf Gloves - One Size ZF Universal,Zero Friction,$8.99 - $29.99,FREE Shipping on orders over $35,68
,"Martini Golf 3-1/4"" Durable Plastic Tee 5-Pack",Martini Tee,$2.49 - $17.78,FREE Shipping on orders over $35,412
4.3 out of 5 stars,PrideSports Golf Club Cleaning Brush,PrideSports,$3.45 - $9.99,FREE Shipping,359
,Bridgestone Xfixx White Golf Balls 12-Ball Pack,Bridgestone,$12.99 - $25.45,FREE Shipping on orders over $35,11
,Club Glove Stiff Arm Travel Club Protector,Club Glove,$24.99,,155
